wall_id,materials,total_thickness,total_r_value,total_u_value,total_embodied_carbon,heat_transfer,total_cost
1,"[{'material': 'Cement plaster', 'thickness': np.float64(0.011), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(66.667), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Foam glass', 'thickness': np.float64(0.094), 'density': np.float64(127.0), 'conductivity': np.float64(0.056), 'u_value': np.float64(0.596), 'embodied_carbon_coefficient': np.float64(1.26), 'cost': np.float64(72.27), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#848788'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.015), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.12,1.723,101.746,31.94,5.804,89.97
2,"[{'material': 'Cement plaster', 'thickness': np.float64(0.013), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(55.556), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.092), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(0.413), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Cement plaster', 'thickness': np.float64(0.01), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(71.429), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.115,2.453,127.398,37.308,4.077,26.47
3,"[{'material': 'Plywood', 'thickness': np.float64(0.005), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(34.483), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.053), 'density': np.float64(48.0), 'conductivity': np.float64(0.042), 'u_value': np.float64(0.792), 'embodied_carbon_coefficient': np.float64(4.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Cement plaster', 'thickness': np.float64(0.015), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(47.619), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}]",0.073,1.312,82.894,30.027,7.622,35.23
4,"[{'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Soft board', 'thickness': np.float64(0.095), 'density': np.float64(320.0), 'conductivity': np.float64(0.066), 'u_value': np.float64(0.695), 'embodied_carbon_coefficient': np.float64(0.12), 'cost': np.float64(24.57), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#b2afb0'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.014), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(37.037), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.123,1.485,90.364,23.564,6.734,42.27
5,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.012), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(43.478), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Foam glass', 'thickness': np.float64(0.043), 'density': np.float64(127.0), 'conductivity': np.float64(0.056), 'u_value': np.float64(1.302), 'embodied_carbon_coefficient': np.float64(1.26), 'cost': np.float64(72.27), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#848788'}, {'material': 'Plywood', 'thickness': np.float64(0.022), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(7.937), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.077,0.917,52.717,24.711,10.905,98.73
6,"[{'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.098), 'density': np.float64(92.0), 'conductivity': np.float64(0.047), 'u_value': np.float64(0.48), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Gypsum plaster', 'thickness': np.float64(0.013), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(40.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}]",0.123,2.127,99.304,26.85,4.701,33.95
7,"[{'material': 'Timber', 'thickness': np.float64(0.031), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(2.32), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}, {'material': 'Mineral wool (unbonded)', 'thickness': np.float64(0.056), 'density': np.float64(73.5), 'conductivity': np.float64(0.03), 'u_value': np.float64(0.536), 'embodied_carbon_coefficient': np.float64(0.5), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b9b7ba'}, {'material': 'Plywood', 'thickness': np.float64(0.014), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(12.5), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.101,2.378,15.356,21.732,4.205,57.45
8,"[{'material': 'Cement plaster', 'thickness': np.float64(0.012), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(58.824), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Resin bonded mineral Wool', 'thickness': np.float64(0.085), 'density': np.float64(64.0), 'conductivity': np.float64(0.038), 'u_value': np.float64(0.447), 'embodied_carbon_coefficient': np.float64(2.0), 'cost': np.float64(5.01), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#aba8ab'}, {'material': 'Plywood', 'thickness': np.float64(0.02), 'density': np.float64(640.0), 'conductivity': np.float64(0.174), 'u_value': np.float64(8.696), 'embodied_carbon_coefficient': np.float64(1.0), 'cost': np.float64(19.49), 'recyclability': np.int64(4), 'bio_based': np.True_, 'color': '#717171'}]",0.117,2.369,67.967,37.001,4.221,35.23
9,"[{'material': 'Cement plaster', 'thickness': np.float64(0.014), 'density': np.float64(1762.0), 'conductivity': np.float64(0.721), 'u_value': np.float64(52.632), 'embodied_carbon_coefficient': np.float64(0.63), 'cost': np.float64(10.73), 'recyclability': np.int64(2), 'bio_based': np.False_, 'color': '#6d6d6c'}, {'material': 'Rock wool (unbonded)', 'thickness': np.float64(0.086), 'density': np.float64(150.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.5), 'embodied_carbon_coefficient': np.float64(1.05), 'cost': np.float64(16.25), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#c1c1c3'}, {'material': 'Solid burnt clay brick', 'thickness': np.float64(0.012), 'density': np.float64(1920.0), 'conductivity': np.float64(0.98), 'u_value': np.float64(83.333), 'embodied_carbon_coefficient': np.float64(0.012), 'cost': np.float64(22.31), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#b4b2b3'}, {'material': 'Timber', 'thickness': np.float64(0.019), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.788), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.131,2.295,140.253,35.928,4.357,71.0
10,"[{'material': 'Gypsum plaster', 'thickness': np.float64(0.01), 'density': np.float64(1120.0), 'conductivity': np.float64(0.512), 'u_value': np.float64(50.0), 'embodied_carbon_coefficient': np.float64(0.279), 'cost': np.float64(6.97), 'recyclability': np.int64(3), 'bio_based': np.False_, 'color': '#6b6b6a'}, {'material': 'Glass Wool (unbonded)', 'thickness': np.float64(0.062), 'density': np.float64(69.0), 'conductivity': np.float64(0.043), 'u_value': np.float64(0.693), 'embodied_carbon_coefficient': np.float64(1.35), 'cost': np.float64(5.78), 'recyclability': np.int64(4), 'bio_based': np.False_, 'color': '#707372'}, {'material': 'Timber', 'thickness': np.float64(0.021), 'density': np.float64(480.0), 'conductivity': np.float64(0.072), 'u_value': np.float64(3.425), 'embodied_carbon_coefficient': np.float64(0.72), 'cost': np.float64(21.71), 'recyclability': np.int64(5), 'bio_based': np.True_, 'color': '#6f706e'}]",0.093,1.754,54.118,16.158,5.701,34.46
